Month,Name1,Name2,Economic Indicators,Impact1,MDD.Growth,Underlying Economic Activity
2022M08,MDD Growth,UEA,Housing,0.11898685,0,0
2022M08,MDD Growth,UEA,Industrial Output,0.18762024,0,0
2022M08,MDD Growth,UEA,Investment,-0.035010278,0,0
2022M08,MDD Growth,UEA,Labour Market,0.294663067,0,0
2022M08,MDD Growth,UEA,Prices,0.050167057,0,0
2022M08,MDD Growth,UEA,Soft,-0.658313072,0,0
2022M08,MDD Growth,UEA,NA,0.003487909,0,0
2022M09,MDD Growth,UEA,Consumption,-0.092353222,-20.59780284,-0.281842174
2022M09,MDD Growth,UEA,Financial,-0.01707768,0,0
2022M09,MDD Growth,UEA,Fiscal,0.131709134,0,0
2022M09,MDD Growth,UEA,Housing,0.068800876,0,0
2022M09,MDD Growth,UEA,Industrial Output,0.074286023,0,0
2022M09,MDD Growth,UEA,Investment,-0.022776285,0,0
2022M09,MDD Growth,UEA,Labour Market,0.230086445,0,0
2022M09,MDD Growth,UEA,Prices,0.047039544,0,0
2022M09,MDD Growth,UEA,Soft,-0.672755269,0,0
2022M09,MDD Growth,UEA,NA,0.001191047,0,0
2022M10,MDD Growth,UEA,Consumption,-0.069402501,-23.59973847,-0.42787889
2022M10,MDD Growth,UEA,Financial,0.000793774,0,0
2022M10,MDD Growth,UEA,Fiscal,0.087482057,0,0
2022M10,MDD Growth,UEA,Housing,0.07431628,0,0
2022M10,MDD Growth,UEA,Industrial Output,0.107491594,0,0
2022M10,MDD Growth,UEA,Investment,-0.053841562,0,0
2022M10,MDD Growth,UEA,Labour Market,0.196004281,0,0
2022M10,MDD Growth,UEA,Prices,0.053865588,0,0
2022M10,MDD Growth,UEA,Soft,-0.740543781,0,0
2022M10,MDD Growth,UEA,NA,0.001929324,0,0
2022M11,MDD Growth,UEA,Consumption,-0.050295996,-10.41760221,-0.410888643
2022M11,MDD Growth,UEA,Financial,-0.017173378,0,0
2022M11,MDD Growth,UEA,Fiscal,0.132520744,0,0
2022M11,MDD Growth,UEA,Housing,0.093906782,0,0
2022M11,MDD Growth,UEA,Industrial Output,0.083211681,0,0
2022M11,MDD Growth,UEA,Investment,-0.109222471,0,0
2022M11,MDD Growth,UEA,Labour Market,0.167425112,0,0
2022M11,MDD Growth,UEA,Prices,0.051492154,0,0
2022M11,MDD Growth,UEA,Soft,-0.707829344,0,0
2022M11,MDD Growth,UEA,NA,0.002462524,0,0
2022M12,MDD Growth,UEA,Consumption,-0.032801974,-0.440019707,-0.212442077
2022M12,MDD Growth,UEA,Financial,-0.025110716,0,0
2022M12,MDD Growth,UEA,Fiscal,0.007417873,0,0
2022M12,MDD Growth,UEA,Housing,0.074071395,0,0
2022M12,MDD Growth,UEA,Industrial Output,0.091626267,0,0
2022M12,MDD Growth,UEA,Investment,-0.030281097,0,0
2022M12,MDD Growth,UEA,Labour Market,0.180774623,0,0
2022M12,MDD Growth,UEA,Prices,0.045852839,0,0
2022M12,MDD Growth,UEA,Soft,-0.528467953,0,0
2022M12,MDD Growth,UEA,NA,-0.000326523,0,0
2023M01,MDD Growth,UEA,Consumption,-0.002976458,-2.958431142,-0.080819626
2023M01,MDD Growth,UEA,Financial,-0.025914429,0,0
2023M01,MDD Growth,UEA,Fiscal,0.07253234,0,0
2023M01,MDD Growth,UEA,Housing,0.052432033,0,0
2023M01,MDD Growth,UEA,Industrial Output,0.032471533,0,0
2023M01,MDD Growth,UEA,Investment,0.057374138,0,0
2023M01,MDD Growth,UEA,Labour Market,0.18463263,0,0
2023M01,MDD Growth,UEA,Prices,0.04281594,0,0
2023M01,MDD Growth,UEA,Soft,-0.44764255,0,0
2023M01,MDD Growth,UEA,NA,0.001026985,0,0
2023M02,MDD Growth,UEA,Consumption,-0.040716761,-19.58025439,-0.199102409
2023M02,MDD Growth,UEA,Financial,-0.03099456,0,0
2023M02,MDD Growth,UEA,Fiscal,0.051539787,0,0
2023M02,MDD Growth,UEA,Housing,0.047777373,0,0
2023M02,MDD Growth,UEA,Industrial Output,-0.018737534,0,0
2023M02,MDD Growth,UEA,Investment,-0.009185267,0,0
2023M02,MDD Growth,UEA,Labour Market,0.128372872,0,0
2023M02,MDD Growth,UEA,Prices,0.04767006,0,0
2023M02,MDD Growth,UEA,Soft,-0.373476579,0,0
2023M02,MDD Growth,UEA,NA,-0.000982769,0,0
2023M03,MDD Growth,UEA,Consumption,0.010528761,-6.064733022,-0.121691835
2023M03,MDD Growth,UEA,Financial,-0.035828614,0,0
2023M03,MDD Growth,UEA,Fiscal,0.095234643,0,0
2023M03,MDD Growth,UEA,Housing,0.050182874,0,0
2023M03,MDD Growth,UEA,Industrial Output,0.051362388,0,0
2023M03,MDD Growth,UEA,Investment,0.009962653,0,0
2023M03,MDD Growth,UEA,Labour Market,0.12089977,0,0
2023M03,MDD Growth,UEA,Prices,0.041652313,0,0
2023M03,MDD Growth,UEA,Soft,-0.392783089,0,0
2023M03,MDD Growth,UEA,NA,0.000821909,0,0
2023M04,MDD Growth,UEA,Consumption,-0.010019503,-8.389243696,-0.050868891
2023M04,MDD Growth,UEA,Financial,-0.040632052,0,0
2023M04,MDD Growth,UEA,Fiscal,0.041996498,0,0
2023M04,MDD Growth,UEA,Housing,0.025970837,0,0
2023M04,MDD Growth,UEA,Industrial Output,0.013169748,0,0
2023M04,MDD Growth,UEA,Investment,0.007338547,0,0
2023M04,MDD Growth,UEA,Labour Market,0.10929056,0,0
2023M04,MDD Growth,UEA,Prices,0.037894785,0,0
2023M04,MDD Growth,UEA,Soft,-0.225573406,0,0
2023M04,MDD Growth,UEA,NA,0.00066605,0,0
2023M05,MDD Growth,UEA,Consumption,0.045939606,7.470057492,0.070621214
2023M05,MDD Growth,UEA,Financial,-0.043962668,0,0
2023M05,MDD Growth,UEA,Fiscal,0.011447714,0,0
2023M05,MDD Growth,UEA,Housing,0.020679562,0,0
2023M05,MDD Growth,UEA,Industrial Output,0.092532707,0,0
2023M05,MDD Growth,UEA,Investment,0.010930999,0,0
2023M05,MDD Growth,UEA,Labour Market,0.037412414,0,0
2023M05,MDD Growth,UEA,Prices,0.033542025,0,0
2023M05,MDD Growth,UEA,Soft,-0.134154058,0,0
2023M05,MDD Growth,UEA,NA,0.000477379,0,0
2023M06,MDD Growth,UEA,Consumption,0.011843706,-0.34222,0.199261062
2023M06,MDD Growth,UEA,Financial,-0.047017881,0,0
2023M06,MDD Growth,UEA,Fiscal,0.006108494,0,0
2023M06,MDD Growth,UEA,Housing,0,0,0
2023M06,MDD Growth,UEA,Industrial Output,0.178435297,0,0
2023M06,MDD Growth,UEA,Investment,0.02561823,0,0
2023M06,MDD Growth,UEA,Labour Market,0.003647289,0,0
2023M06,MDD Growth,UEA,Prices,0.030740601,0,0
2023M06,MDD Growth,UEA,Soft,0.009921318,0,0
2023M06,MDD Growth,UEA,NA,0.000525479,0,0
2023M07,MDD Growth,UEA,Consumption,0.011519292,1.337421,0.244011043
2023M07,MDD Growth,UEA,Financial,-0.048798621,0,0
2023M07,MDD Growth,UEA,Fiscal,0.077732793,0,0
2023M07,MDD Growth,UEA,Housing,0.017532394,0,0
2023M07,MDD Growth,UEA,Industrial Output,0.03943751,0,0
2023M07,MDD Growth,UEA,Investment,0.02843313,0,0
2023M07,MDD Growth,UEA,Labour Market,0.005451328,0,0
2023M07,MDD Growth,UEA,Prices,0.028160817,0,0
2023M07,MDD Growth,UEA,Soft,0.047161364,0,0
2023M07,MDD Growth,UEA,NA,0.000128553,0,0
